epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.05,0,,,,,,,
0,,49,,0.008906731382012367,,,,,
0,,99,,0.0059379772283136845,,,,,
0,,149,,0.008710045367479324,,,,,
0,,199,,0.0063052913174033165,,,,,
0,,249,,0.00760587677359581,,,,,
0,,299,,0.007998443208634853,,,,,
0,,322,,,0.016353003680706024,1.1976419687271118,0.021549873054027557,1.7287760972976685,0.008985388092696667
0,,322,0.007998684421181679,,,,,,
,0.05,323,,,,,,,
1,,349,,0.00843222439289093,,,,,
1,,399,,0.007655385881662369,,,,,
1,,449,,0.010035268031060696,,,,,
1,,499,,0.008349332958459854,,,,,
1,,549,,0.00794390868395567,,,,,
1,,599,,0.00874463189393282,,,,,
1,,645,,,0.016308914870023727,1.8378788232803345,0.021857505664229393,1.5119566917419434,0.009065328165888786
1,,645,0.007751670200377703,,,,,,
,0.05,646,,,,,,,
2,,649,,0.007156580686569214,,,,,
2,,699,,0.007797519210726023,,,,,
2,,749,,0.009609902277588844,,,,,
2,,799,,0.007418457418680191,,,,,
2,,849,,0.006537384819239378,,,,,
2,,899,,0.007200485095381737,,,,,
2,,949,,0.007880860939621925,,,,,
2,,968,,,0.016247903928160667,1.3595881462097168,0.021616414189338684,1.6710431575775146,0.00901467353105545
2,,968,0.007727874908596277,,,,,,
,0.05,969,,,,,,,
3,,999,,0.007897937670350075,,,,,
3,,1049,,0.007980076596140862,,,,,
3,,1099,,0.007585780695080757,,,,,
3,,1149,,0.009204904548823833,,,,,
3,,1199,,0.007601965684443712,,,,,
3,,1249,,0.00660048658028245,,,,,
3,,1291,,,0.01631780155003071,1.9032366275787354,0.021888015791773796,1.5125755071640015,0.00897036399692297
3,,1291,0.007744551636278629,,,,,,
,0.05,1292,,,,,,,
4,,1299,,0.007160091772675514,,,,,
4,,1349,,0.008268719539046288,,,,,
4,,1399,,0.009035319089889526,,,,,
4,,1449,,0.007000371813774109,,,,,
4,,1499,,0.006797544192522764,,,,,
4,,1549,,0.006708641070872545,,,,,
4,,1599,,0.005838031880557537,,,,,
4,,1614,,,0.016243478283286095,1.3597313165664673,0.021615782752633095,1.664373517036438,0.009076517075300217
4,,1614,0.007736170664429665,,,,,,
,0.05,1615,,,,,,,
5,,1649,,0.008228272199630737,,,,,
5,,1699,,0.007676560897380114,,,,,
5,,1749,,0.00790347158908844,,,,,
5,,1799,,0.007652082946151495,,,,,
5,,1849,,0.006333631929010153,,,,,
5,,1899,,0.00733208330348134,,,,,
5,,1937,,,0.016245108097791672,1.3975061178207397,0.021624941378831863,1.6608387231826782,0.00907614640891552
5,,1937,0.0077266148291528225,,,,,,
,0.05,1938,,,,,,,
6,,1949,,0.0058026183396577835,,,,,
6,,1999,,0.006735972128808498,,,,,
6,,2049,,0.00739063648506999,,,,,
6,,2099,,0.007867240346968174,,,,,
6,,2149,,0.008639315143227577,,,,,
6,,2199,,0.0067050340585410595,,,,,
6,,2249,,0.009448669850826263,,,,,
6,,2260,,,0.016299104318022728,1.1406382322311401,0.021555105224251747,1.7150410413742065,0.009112262167036533
6,,2260,0.007739120163023472,,,,,,
,0.05,2261,,,,,,,
7,,2299,,0.008757464587688446,,,,,
7,,2349,,0.009329120628535748,,,,,
7,,2399,,0.007532620336860418,,,,,
7,,2449,,0.006337510421872139,,,,,
7,,2499,,0.008715467527508736,,,,,
7,,2549,,0.007397779729217291,,,,,
7,,2583,,,0.016372108832001686,2.011164426803589,0.021961472928524017,1.4689409732818604,0.00902116484940052
7,,2583,0.007754442282021046,,,,,,
,0.05,2584,,,,,,,
8,,2599,,0.0074617983773350716,,,,,
8,,2649,,0.007824384607374668,,,,,
8,,2699,,0.007094294298440218,,,,,
8,,2749,,0.007437494117766619,,,,,
8,,2799,,0.007443103939294815,,,,,
8,,2849,,0.009040115401148796,,,,,
8,,2899,,0.009905776008963585,,,,,
8,,2906,,,0.016550304368138313,1.334413766860962,0.021725567057728767,1.6482709646224976,0.009093564935028553
8,,2906,0.007732379715889692,,,,,,
,0.025,2907,,,,,,,
9,,2949,,0.008145316503942013,,,,,
9,,2999,,0.00638768682256341,,,,,
9,,3049,,0.005435220897197723,,,,,
9,,3099,,0.007463924586772919,,,,,
9,,3149,,0.009194055572152138,,,,,
9,,3199,,0.00805685855448246,,,,,
9,,3229,,,0.01633916050195694,1.1687510013580322,0.021550895646214485,1.7200196981430054,0.009055377915501595
9,,3229,0.007681798655539751,,,,,,
,0.025,3230,,,,,,,
10,,3249,,0.00780123844742775,,,,,
10,,3299,,0.007746053859591484,,,,,
10,,3349,,0.007085002958774567,,,,,
10,,3399,,0.006870074663311243,,,,,
10,,3449,,0.006955708842724562,,,,,
10,,3499,,0.009751182049512863,,,,,
10,,3549,,0.0064778439700603485,,,,,
10,,3552,,,0.016301944851875305,1.3908941745758057,0.021640576422214508,1.6507948637008667,0.009059734642505646
10,,3552,0.007678508758544922,,,,,,
