epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.05,0,,,,,,,
0,,49,,0.008759050630033016,,,,,
0,,99,,0.01437130756676197,,,,,
0,,128,,,0.019796742126345634,0.9999902844429016,0.024547593668103218,1.9999263286590576,0.01979675516486168
0,,128,0.013883200474083424,,,,,,
,0.05,129,,,,,,,
1,,149,,0.012768217362463474,,,,,
1,,199,,0.007362693548202515,,,,,
1,,249,,0.008295091800391674,,,,,
1,,257,,,0.019796742126345634,0.9999902844429016,0.024547593668103218,1.9999263286590576,0.01979675516486168
1,,257,0.010294424369931221,,,,,,
,0.05,258,,,,,,,
2,,299,,0.00969797745347023,,,,,
2,,349,,0.010055323131382465,,,,,
2,,386,,,0.019796742126345634,0.9999902844429016,0.024547593668103218,1.9999263286590576,0.01979675516486168
2,,386,0.01030223909765482,,,,,,
,0.05,387,,,,,,,
3,,399,,0.01202375628054142,,,,,
3,,449,,0.00606402987614274,,,,,
3,,499,,0.01075077336281538,,,,,
3,,515,,,0.019796742126345634,0.9999902844429016,0.024547593668103218,1.9999263286590576,0.01979675516486168
3,,515,0.010314025916159153,,,,,,
,0.05,516,,,,,,,
4,,549,,0.010201742872595787,,,,,
4,,599,,0.013315970078110695,,,,,
4,,644,,,0.019796742126345634,0.9999902844429016,0.024547593668103218,1.9999263286590576,0.01979675516486168
4,,644,0.01028065849095583,,,,,,
,0.05,645,,,,,,,
5,,649,,0.007470058277249336,,,,,
5,,699,,0.007128911558538675,,,,,
5,,749,,0.007308679167181253,,,,,
5,,773,,,0.019796742126345634,0.9999902844429016,0.024547593668103218,1.9999263286590576,0.01979675516486168
5,,773,0.010286682285368443,,,,,,
,0.025,774,,,,,,,
6,,799,,0.008283451199531555,,,,,
6,,849,,0.009171473793685436,,,,,
6,,899,,0.011361487209796906,,,,,
6,,902,,,0.019796742126345634,0.9999902844429016,0.024547593668103218,1.9999263286590576,0.01979675516486168
6,,902,0.010293197818100452,,,,,,
,0.025,903,,,,,,,
7,,949,,0.013087170198559761,,,,,
7,,999,,0.011895340867340565,,,,,
7,,1031,,,0.019796742126345634,0.9999902844429016,0.024547593668103218,1.9999263286590576,0.01979675516486168
7,,1031,0.0102916918694973,,,,,,
,0.025,1032,,,,,,,
8,,1049,,0.009946956299245358,,,,,
8,,1099,,0.011819691397249699,,,,,
8,,1149,,0.010480869561433792,,,,,
8,,1160,,,0.019796742126345634,0.9999902844429016,0.024547593668103218,1.9999263286590576,0.01979675516486168
8,,1160,0.01027959119528532,,,,,,
,0.025,1161,,,,,,,
9,,1199,,0.006617454346269369,,,,,
9,,1249,,0.0162760391831398,,,,,
9,,1289,,,0.019796742126345634,0.9999902844429016,0.024547593668103218,1.9999263286590576,0.01979675516486168
9,,1289,0.0103091299533844,,,,,,
,0.025,1290,,,,,,,
10,,1299,,0.009500338695943356,,,,,
10,,1349,,0.008888863027095795,,,,,
10,,1399,,0.00920457299798727,,,,,
10,,1418,,,0.019796742126345634,0.9999902844429016,0.024547593668103218,1.9999263286590576,0.01979675516486168
10,,1418,0.010301291942596436,,,,,,
