epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.05,0,,,,,,,
0,,49,,0.003493592143058777,,,,,
0,,99,,0.004757029470056295,,,,,
0,,128,,,0.019621245563030243,1.297022819519043,0.024555735290050507,1.6604832410812378,0.01082767453044653
0,,128,0.006751872133463621,,,,,,
,0.05,129,,,,,,,
1,,149,,0.00467802956700325,,,,,
1,,199,,0.006043510045856237,,,,,
1,,249,,0.006471527740359306,,,,,
1,,257,,,0.01963384449481964,1.4521838426589966,0.024642271921038628,1.5975465774536133,0.010969848372042179
1,,257,0.006038786377757788,,,,,,
,0.05,258,,,,,,,
2,,299,,0.003789484966546297,,,,,
2,,349,,0.006062669679522514,,,,,
2,,386,,,0.020855853334069252,2.010526418685913,0.02525908872485161,1.5791701078414917,0.01147782988846302
2,,386,0.0060802181251347065,,,,,,
,0.05,387,,,,,,,
3,,399,,0.0060353875160217285,,,,,
3,,449,,0.004833613988012075,,,,,
3,,499,,0.004332392010837793,,,,,
3,,515,,,0.020182928070425987,1.5868854522705078,0.024904601275920868,1.6275339126586914,0.011313941329717636
3,,515,0.006013690494000912,,,,,,
,0.05,516,,,,,,,
4,,549,,0.005393595900386572,,,,,
4,,599,,0.004322555381804705,,,,,
4,,644,,,0.020602285861968994,1.653243899345398,0.025061137974262238,1.6361619234085083,0.01088869757950306
4,,644,0.005993694067001343,,,,,,
,0.05,645,,,,,,,
5,,649,,0.004002095200121403,,,,,
5,,699,,0.006373241543769836,,,,,
5,,749,,0.0039675273001194,,,,,
5,,773,,,0.019908692687749863,1.9336837530136108,0.025055337697267532,1.5226590633392334,0.010953990742564201
5,,773,0.0060074664652347565,,,,,,
,0.025,774,,,,,,,
6,,799,,0.006284290924668312,,,,,
6,,849,,0.006295092403888702,,,,,
6,,899,,0.006033357232809067,,,,,
6,,902,,,0.020287862047553062,1.3842887878417969,0.02484026737511158,1.6929457187652588,0.01166177075356245
6,,902,0.005935363471508026,,,,,,
,0.025,903,,,,,,,
7,,949,,0.006791419815272093,,,,,
7,,999,,0.0057845450937747955,,,,,
7,,1031,,,0.02020539715886116,1.334245204925537,0.024774853140115738,1.7077897787094116,0.011183097027242184
7,,1031,0.00589584419503808,,,,,,
,0.025,1032,,,,,,,
8,,1049,,0.009543402120471,,,,,
8,,1099,,0.00304947467520833,,,,,
8,,1149,,0.00657995231449604,,,,,
8,,1160,,,0.020392384380102158,1.4425137042999268,0.024915069341659546,1.677257776260376,0.011378715746104717
8,,1160,0.005914194509387016,,,,,,
,0.025,1161,,,,,,,
9,,1199,,0.003116966923698783,,,,,
9,,1249,,0.0071172588504850864,,,,,
9,,1289,,,0.020038755610585213,1.238713026046753,0.02465864084661007,1.753226399421692,0.011336954310536385
9,,1289,0.0059274653904139996,,,,,,
,0.025,1290,,,,,,,
10,,1299,,0.004898692946881056,,,,,
10,,1349,,0.00398145942017436,,,,,
10,,1399,,0.0068961335346102715,,,,,
10,,1418,,,0.020298829302191734,1.2336441278457642,0.024908844381570816,1.7613365650177002,0.012044822797179222
10,,1418,0.005917219445109367,,,,,,
